Model,Variable,Estimate,SE,p_value
CAPM,(Intercept),-0.03725,0.05494,0.498
CAPM,Mkt_RF,0.40607,0.04926,4.24e-16
FF3,(Intercept),-0.04786,0.05481,0.382740
FF3,Mkt_RF,0.48799,0.05484,<2e-16
FF3,SMB,-0.12630,0.08397,0.132817
FF3,HML,0.22996,0.06682,0.000598
FF5,(Intercept),-0.04781,0.05473,0.3825
FF5,Mkt_RF,0.51161,0.05591,<2e-16
FF5,SMB,-0.07822,0.09444,0.4077
FF5,HML,0.10591,0.08553,0.2158
FF5,RMW,0.07684,0.10402,0.4602
FF5,CMA,0.26881,0.11974,0.0249
HC1,(Intercept),-0.047814,0.054388,0.37950
HC1,Mkt_RF,0.511605,0.055060,<2e-16
HC1,SMB,-0.078220,0.097863,0.42428
HC1,HML,0.105915,0.092333,0.25157
HC1,RMW,0.076838,0.096554,0.42630
HC1,CMA,0.268808,0.139686,0.05454
